"","Year","Position","Team","Points"
"1",1958,"1","Vanwall","48"
"2",1958,"2","Ferrari","40"
"3",1958,"3","Cooper Climax","31"
"4",1958,"4","BRM","18"
"5",1958,"5","Maserati","6"
"6",1958,"6","Lotus Climax","3"
"7",1959,"1","Cooper Climax","40"
"8",1959,"2","Ferrari","32"
"9",1959,"3","BRM","18"
"10",1959,"4","Lotus Climax","5"
"11",1960,"1","Cooper Climax","48"
"12",1960,"2","Lotus Climax","34"
"13",1960,"3","Ferrari","26"
"14",1960,"4","BRM","8"
"15",1960,"5","Cooper Maserati","3"
"16",1960,"6","Cooper Castellotti","3"
"17",1961,"1","Ferrari","40"
"18",1961,"2","Lotus Climax","32"
"19",1961,"3","Porsche","22"
"20",1961,"4","Cooper Climax","14"
"21",1961,"5","BRM Climax","7"
"22",1962,"1","BRM","42"
"23",1962,"2","Lotus Climax","36"
"24",1962,"3","Cooper Climax","29"
"25",1962,"4","Lola Climax","19"
"26",1962,"5","Porsche","18"
"27",1962,"6","Ferrari","18"
"28",1962,"7","Brabham Climax","6"
"29",1962,"8","Lotus BRM","1"
"30",1963,"1","Lotus Climax","54"
"31",1963,"2","BRM","36"
"32",1963,"3","Brabham Climax","28"
"33",1963,"4","Ferrari","26"
"34",1963,"5","Cooper Climax","25"
"35",1963,"6","BRP BRM","6"
"36",1963,"7","Porsche","5"
"37",1963,"8","Lotus BRM","4"
"38",1964,"1","Ferrari","45"
"39",1964,"2","BRM","42"
"40",1964,"3","Lotus Climax","37"
"41",1964,"4","Brabham Climax","30"
"42",1964,"5","Cooper Climax","16"
"43",1964,"6","Brabham BRM","7"
"44",1964,"7","BRP BRM","5"
"45",1964,"8","Lotus BRM","3"
"46",1965,"1","Lotus Climax","54"
"47",1965,"2","BRM","45"
"48",1965,"3","Brabham Climax","27"
"49",1965,"4","Ferrari","26"
"50",1965,"5","Cooper Climax","14"
"51",1965,"6","Honda","11"
"52",1965,"7","Brabham BRM","5"
"53",1965,"8","Lotus BRM","2"
"54",1966,"1","Brabham Repco","42"
"55",1966,"2","Ferrari","31"
"56",1966,"3","Cooper Maserati","30"
"57",1966,"4","BRM","22"
"58",1966,"5","Lotus BRM","13"
"59",1966,"6","Lotus Climax","8"
"60",1966,"7","Eagle Climax","4"
"61",1966,"8","Honda","3"
"62",1966,"9","McLaren Ford","2"
"63",1966,"10","Brabham BRM","1"
"64",1966,"11","McLaren Serenissima","1"
"65",1966,"12","Brabham Climax","1"
"66",1967,"1","Brabham Repco","63"
"67",1967,"2","Lotus Ford","44"
"68",1967,"3","Cooper Maserati","28"
"69",1967,"4","Honda","20"
"70",1967,"5","Ferrari","20"
"71",1967,"6","BRM","17"
"72",1967,"7","Eagle Weslake","13"
"73",1967,"8","Cooper Climax","6"
"74",1967,"9","Lotus BRM","6"
"75",1967,"10","McLaren BRM","3"
"76",1967,"11","Brabham Climax","2"
"77",1968,"1","Lotus Ford","62"
"78",1968,"2","McLaren Ford","49"
"79",1968,"3","Matra Ford","45"
"80",1968,"4","Ferrari","32"
"81",1968,"5","BRM","28"
"82",1968,"6","Honda","14"
"83",1968,"7","Cooper BRM","14"
"84",1968,"8","Brabham Repco","10"
"85",1968,"9","Matra","8"
"86",1968,"10","Mclaren BRM","3"
"87",1969,"1","Matra Ford","66"
"88",1969,"2","Brabham Ford","49"
"89",1969,"3","Lotus Ford","47"
"90",1969,"4","McLaren Ford","38"
"91",1969,"5","Ferrari","7"
"92",1969,"6","BRM","7"
"93",1970,"1","Lotus Ford","59"
"94",1970,"2","Ferrari","52"
"95",1970,"3","March Ford","48"
"96",1970,"4","Brabham Ford","35"
"97",1970,"5","McLaren Ford","35"
"98",1970,"6","BRM","23"
"99",1970,"7","Matra","23"
"100",1970,"8","Surtees Ford","3"
